
------ 1926311864 :: Soul Filcher's Clearing Time ------

1926311864::EN::ItemName_Base.CuttingBoardWooden = "Wooden Cutting Board",
1926311864::CN::ItemName_Base.CuttingBoardWooden = "ceshiceshi木质砧板dafdsa",
	1926311864::EN::ItemName_Base.PoolballInSock = "Poolball In Sock",
	1945359259::CN::IGUI_Dream131 = "棺材中听到关于黄毛衣品味的低语. 第二次 <LINE> 低语建议放松才能脱困.",
	1945359259::EN::IGUI_Dream132 = "I lie on the bed and look down. Instead of legs, I now have two fixed wooden sticks. I look at them, not understanding how this is possible. The sticks are not felt and I can't move them. What does it mean? Why can't I control my legs? <LINE> <LINE> - Hey, why are you looking at your feet like that? I heard a voice to my left. I look towards the sound and see some kind of silhouette figure there. I don't know who it is, but I can hear her laughing. <LINE> <LINE> - Who are you? I ask. <LINE> <LINE> -Just another dream of yours,- the voice replied. <LINE> <LINE> - What does this mean? <LINE> <LINE> - This means that you are in my world, where I am your guide. I'll show you where you must go. <LINE> <LINE> - But why don't I have legs? I ask. <LINE> <LINE> - Because it's your fear. You're afraid of losing control, aren't you? <LINE> <LINE> - Yes, I'm afraid. <LINE> <LINE> - Don't be afraid, just go ahead and trust me. <LINE> <LINE> The figure has disappeared into the darkness, and I decide to follow her advice. I stand on my wooden sticks and walk forward, trusting the guide. I'm starting to feel lighter and my sticks move better as a result. I walk faster and faster until I finally see the light at the end of the tunnel. <LINE> <LINE> - So, how do you like this dream? I heard the conductor's voice. <LINE> <LINE> - He was weird but interesting. Thank you for being on our journey together. <LINE> <LINE> - Always happy to help. See you...",
	1945359259::CN::IGUI_Dream132 = "发现双腿变成木棍, 黑影向导说这是恐惧具 <LINE> 现化. 跟着它走向光明的隧道尽头.",
		1945359259::EN::IGUI_Dream133 = "In an unfamiliar place, and next to me is a beautiful stranger. <LINE> <LINE> - Hi,-  she said to me. <LINE> <LINE> - What's your name?-  I asked. <LINE> <LINE> - My name is Maggie. <LINE> <LINE> - Do you speak English? <LINE> <LINE> - Yes, of course. And you?” she asked. <LINE> <LINE> - Yes, I also speak English, but not very well,-  I replied. <LINE> <LINE> - It's okay, we can just talk.-  With that, Maggie sat down on the edge of the bed and motioned for me to follow suit. <LINE> <LINE> We started talking about various things, and I noticed that she and I were already in bed. I started to feel that something was wrong. Maggie's gaze became more intense, and her hands began to caress my breasts. I was in shock and didn't know what to do. Maggie noticed my arousal and began kissing my neck playfully. I couldn't help it and started kissing her lips. We hugged passionately, and I felt our excitement increase more and more. <LINE> <LINE> - I feel so good with you,-  Maggie whispered in my ear. I kissed her back.",
		1945359259::CN::IGUI_Dream133 = "与自称Maggie的女子从闲聊发展到亲 <LINE> 密接触, 在激情拥吻中逐渐迷失.",
	1945359259::EN::IGUI_Dream134 = "I'm standing on the dance floor, surrounded by a crowd of people. The music is loud, it's a club, but I don't remember how I ended up here. Suddenly I notice that the man standing next to me is staring at me intently. He is handsome, strong and charming, I can feel my heart start beating faster. <LINE> <LINE> He holds out his hand to me and invites me to dance. We move to the beat of the music, our bodies intertwine in the rhythm of the music. I feel how strongly I am drawn to him. We are moving faster and faster, gradually approaching each other. <LINE> <LINE> He suddenly leans down and covers me with a kiss. We are in a passionate kiss, he grabs my waist, and I feel how our passion grows more and more. He takes my hands and leads me into a room where we have room for just the two of us. <LINE> <LINE> He and I find ourselves on the bed, kissing, touching each other, our bodies merging in a passionate embrace. I feel like my dream is coming true, I enjoy every touch of him. We enjoy each other and I don't want it to end. <LINE> <LINE> - You won't forget me, will you? he tells me when we're done. <LINE> <LINE> - Of course not, - I reply, without any regret in my voice.",
	1945359259::CN::IGUI_Dream134 = "夜店共舞后与英俊男子缠绵, 他在结束时问:  <LINE> 「你会记得我吗? 」",
	1945359259::EN::IGUI_Dream135 = "The crowd gathered at the statue in the center of the city. The monument looked usual - solid and motionless. But today he started acting strangely. It all started with the fact that he trembled, as if waking up from a dream. Then he began to slowly turn around, as if he were accepting us all into his domain. <LINE> <LINE> We were amazed: how could the monument move? It looks like he's actually alive. The mind felt that the monument suddenly asked us a question: <LINE> <LINE> - Did you really think that I would be hard and immobile all my life? - no one could answer. We just stood and watched the statue move, gradually becoming alive and plastic. <LINE> <LINE> What happened next was a little unexpected. Out of the corner of my eye, I could see that the statue was talking. The voice sounded deep and mysterious: <LINE> <LINE> - I am the spirit of this city, and I know all its secrets. <LINE> <LINE> - Today I decided to draw your attention to the fact that the spirit of this place can be in any subject. she continued. No need to pass by and not notice everything that surrounds you, lives its own life. You must pay close attention to this. <LINE> <LINE> Immediately after these words, the statue returned itself to the plinth.",
	1945359259::CN::IGUI_Dream135 = "城市中央雕像突然活动, 自称是知晓所有秘 <LINE> 密的都市之魂. 告诫人们要注意万物有灵后 <LINE> 回归基座.",
	1945359259::EN::IGUI_Dream136 = "Darkness surrounds, the body falls into a deep sleep. I do not want to fall asleep, but my eyelids are hard to close. Slowly I begin to drown in a world of clouds and dreams. <LINE> <LINE> Vibrant colors and images flash before my eyes. I feel my body relax and control is completely lost... <LINE> <LINE> I feel like I'm falling into an abyss. But suddenly I find myself in a room where everything looks familiar, but at the same time a little different. Objects are intertwined with each other, and someone else is present in the room. <LINE> <LINE> I hear paper rustle and turn my head to see what it is. There is a figure in front of me, bending over papers, but I cannot determine who it is. Suddenly she turns to me and I realize that this is my older sister. She looks at me with a smile and says that I don't need to be afraid of her. <LINE> <LINE> I try to speak to her, but the words don't reach her ears. I feel like something is wrong, but I can't figure out what it is. Suddenly everything around disappears.",
	1945359259::CN::IGUI_Dream136 = "梦境中见到微笑的姐姐, 想说话却发不出声.",
	1945359259::EN::IGUI_Dream137 = "I swim in the vast ocean, being on the surface of the water. The shore is not visible, only the endless waves and the sky above. Water caresses the skin, sways under me, but it is not cold, on the contrary, it is pleasantly warm. I swim a little more and try to see something interesting in this vast space. <LINE> <LINE> I notice something moving underwater. I look down and see a shadow that is quickly approaching me. It looks huge and incomprehensible form, I begin to feel slight anxiety. The shadow is getting closer and closer, and then I realize that it is something alive. I start to swim quickly in the opposite direction, but the shadow still won't let me go. <LINE> <LINE> Suddenly I feel something grab my leg. I try to break free, but the shadow still holds my leg and drags me down. I start to panic, but at that moment I feel like I'm being pulled out of the water.",
	1945359259::CN::IGUI_Dream137 = "温暖海水中被黑影追逐, 抓住脚踝拖向深渊 <LINE> 时突然惊醒.",
	1945359259::EN::IGUI_Dream138 = "I am in a small room filled with bright colors and scents. A light haze glows dimly around me, and I feel very comfortable. It looks like I'm in some kind of flower shop or greenhouse. <LINE> <LINE> There are beautiful flowers and plants all around me, each looking unique and beautiful. I begin to examine each of them, enjoying their fragrances and beauty. The air is filled with a sweet scent that plunges me into a state of deep bliss. <LINE> <LINE> I finally stop in front of a large, bright yellow flower that I have never known before. It attracts me with its beauty and fragrance, and I begin to observe it more closely. <LINE> <LINE> As if all of a sudden I feel that the flower is starting to change its shape and getting bigger and bigger. I feel it absorb me, and I find myself inside it. Then I realize that I am in some strange place that does not look like the ordinary world. <LINE> <LINE> I look around and see that I am surrounded by various fantastic creatures that are watching me with curiosity. Still feel comfortable and safe. Like it's not the first time I've been here. <LINE> <LINE> Then I notice that all the creatures begin to move with me, and we fly in an unknown direction. I'm trying to understand what's going on.",
	1945359259::CN::IGUI_Dream138 = "花店里的黄玫瑰突然吞噬我, 来到精灵环绕 <LINE> 的异世界随它们飞行.",
	1945359259::EN::IGUI_Dream139 = "Ocean coast. In front of me stretch endless waters, smooth as a mirror. The sun slowly sinks below the horizon, painting the sky in bright orange and pink tones. <LINE> <LINE> I look up and see a bird soaring in the sky. This is a white eagle, its wings are magnificent and powerful. My gaze follows him, when suddenly he begins to fall down like a stone. <LINE> <LINE> I feel the fear that it will fall and crash on the ground, but just before the surface it flaps its wings and begins to rise again. <LINE> <LINE> - That's how to fly like a real eagle, - I hear a soft voice behind me. <LINE> <LINE> I turn around and see a tall man with a thick beard and gray eyes. He smiles at me and continues: <LINE> <LINE> - We can all learn to fly, we just need to let go of our fears and doubts. <LINE> <LINE> As I listen to his words, I feel something inside of me begin to change. Another eagle appears in the sky, black, with wings like fire. It flies straight at me, but I do not feel fear, only excitement. <LINE> <LINE> - Let's fly together, - I tell the man. <LINE> <LINE> He nods back and together we take to the air like real eagles flying towards the sun.",
	1945359259::CN::IGUI_Dream139 = "海岸边观鹰时, 灰眸老者教我释放恐惧. 与 <LINE> 火翼黑鹰共赴朝阳.",
	1945359259::EN::IGUI_Dream14 = "We drive a car across the field, some dogs attack. I open the window and begin to cut them with a knife, the knife is grinded off, and then it starts to grow in places of chips. I come to the store, show the sellers what the knife is capable of, and ask them for the same, but bigger size. They say they will order, you just need to choose a form.",
	1945359259::CN::IGUI_Dream14 = "我们开车穿过田野, 遭遇野狗袭击.  <LINE> 我摇下车窗用刀砍它们, 刀刃卷刃了, 但缺 <LINE> 口处又开始生长.  <LINE> 我来到商店, 向店员展示这把刀的特别之处,  <LINE> 要求买把更大的同款.  <LINE> 他们说可以订购, 只需选个款式.",
	1945359259::EN::IGUI_Dream140 = "I am outside at night. The weather is cool, but not cold, and there is not a cloud in the sky. I'm trying to find my home, but all the buildings around me look the same. I go forward, but every time I end up in the same place. <LINE> <LINE> Suddenly, a strange character appears in front of me. He wears a butterfly suit and speaks to me in a language that I cannot understand. I try to understand what he is saying, but all the sounds he makes sound like a mixture of slurred words. <LINE> <LINE> I finally dare to ask him where my house is. He points to the far end of the street and smiles, then disappears into nowhere. <LINE> <LINE> I start running in the direction he showed me and find myself at the top of the mountain. From there I can see my house, which is located on the other side of the city. Going down the mountain, I notice that my clothes have become heavy and wet. <LINE> <LINE> I try to move faster, but my clothes keep getting heavy and pulling me towards the ground. Eventually, I fall to the ground and start rolling down the side of the mountain until I reach my home.",
	1945359259::CN::IGUI_Dream140 = "迷路时遇见蝴蝶装束的怪人指路, 衣服变湿 <LINE> 后滚下山回家.",
	1945359259::EN::IGUI_Dream141 = "I'm in a strange place. I'm surrounded by high walls and I can't figure out where I am. I start looking for a way out, but the door to get here has disappeared. <LINE> <LINE> I turn around and see several windows in I go up to them, different bright colors flicker outside. I decide to try to get out through one of the windows. <LINE> <LINE> I go up to the windowsill and look out. It turns out I am on top of a big mountain, and there is a huge lake below. I don’t know about go down, but decide to try jumping.<LINE> <LINE>I jump off the window and fall down.The air whistles in my ears and I feel the waves of the lake approaching me.Close my eyes and prepare to hit.<LINE> <LINE> nothing happens, something grabs me and I start to fly I'm carried by a huge eagle!<LINE> <LINE>I feel incredibly free and light flying on the back of this eagle.I look around and see that the mountains and the lake are far behind <LINE> <LINE> I start talking to the eagle and ask yu him how he learned to fly. He tells me that he was born with this gift and that he always dreamed of someone flying with him. <LINE> <LINE> As we fly further, I realize that our friendship is getting stronger. Enjoy this wonderful flight.",
	1945359259::CN::IGUI_Dream141 = "高墙房间跳窗后被巨鹰所救, 在飞行交谈中 <LINE> 建立羁绊.",
	1945359259::EN::IGUI_Dream142 = "Dark room, I feel a terrible fear take over me. I am aware that I am in a nightmare, but there is nothing I can do to get out of it. <LINE> <LINE> Suddenly I hear a scratching sound and turn my head. I see a man dressed in black, who is slowly approaching me. I start to panic and try to leave the room, but the door is locked. <LINE> <LINE> The man in black continues to approach, and I notice that he is holding a sharp knife. I start screaming and try to pull away from him, but he overtakes me and starts to slowly cut into my skin. <LINE> <LINE> I feel pain like never before and hear my scream echo off the walls of the room. I can't believe this is happening to me, I'm trying to do something, but all my attempts are useless. <LINE> <LINE> The man continues to cut me, my body begins to convulse. I can't bear the pain and fear and my life starts to leave me.",
	1945359259::CN::IGUI_Dream142 = "黑暗房间被持刀黑衣人凌迟, 痛苦中生命流 <LINE> 逝.",
	1945359259::EN::IGUI_Dream143 = "A beautiful landscape opens before me: green meadows, dense forests, and mountains on the horizon. I take a deep breath of fresh air, and enjoy this beauty. I suddenly feel dizzy and begin to lose my balance. I fall and fall until I land on the ground, in a dark and narrow hallway. I get up and look around, trying to figure out where I am. There is almost no light here, only dim rays break through the cracks in the walls. As I begin to move forward, I hear my breath and footsteps bounce off the walls and begin to echo back. <LINE> <LINE> - Hello! - I say in the direction of the wall, but my word is repeated many times, as if responding to every stone, every corner of the room. <LINE> <LINE> - Who's there? - a voice is heard from the depths of the wall. The voice sounds artificial, like it's a recording. <LINE> <LINE> - It's me, is anyone talking to me? <LINE> <LINE> - Yes, that's me. I am talking to you through this echo. <LINE> <LINE> - What do you want to say? <LINE> <LINE> - You know everything is alive, right? Even objects that appear to be inanimate actually have their own energy, their own consciousness. Only you humans consider yourself the highest form of life. <LINE> <LINE> - This is some crazy nonsense. Objects cannot be alive. <LINE> <LINE> - Wrong, my friend. Let me show you, said the voice. <LINE> <LINE> And then something strange happens. I notice how the walls around me begin to tremble and make some sounds, as if they are trying to say something. <LINE> <LINE> - Look, they're alive! says the voice. <LINE> <LINE> Suddenly the walls part and I find myself inside a huge room filled with objects. Every object moves as if it has a life of its own. Books turn on their own, chairs move, and lamps shudder and shake. I feel an inner terror take over me. It's incredible, but the objects are really alive! <LINE> <LINE> - I never thought they could be alive... - I whisper, trying to control the flood of feelings. <LINE> <LINE> - Now you see the truth, my friend...",
	1945359259::CN::IGUI_Dream143 = "走廊墙壁诉说万物有灵论, 随后展示会自主 <LINE> 活动的家具.",
	1945359259::EN::IGUI_Dream144 = "I am in an abandoned factory, which was once the industrial center of the city. The roofs are crumbling, the walls are covered with mold and moss, and the windows are broken and covered with boards. The building is shrouded in a gloomy fog, which creates a sense of invisible danger. <LINE> <LINE> A room opens before me that was once a huge workshop. The hall is empty, except for the old staircase leading to the second floor. My curiosity overcomes my fear and I begin to climb the stairs. <LINE> <LINE> On the second floor, I find myself in a huge warehouse where various goods were stored. There is dust, dirt and cobwebs. I try not to make noise, afraid to attract the attention of someone or something. <LINE> <LINE> As I continue my exploration, I find many rooms and corridors, each of which may hide new dangers. In one room I find a dead mouse, in another a flaming torch that begins to burn me as I approach it. <LINE> <LINE> Nevertheless, I keep walking, getting more and more scared, and I begin to notice some strange sounds coming from the depths of the factory. It could be footsteps, the scraping of metal, or the rustle of raincoats. I don't know what those sounds are, but they make my heart beat faster and faster. <LINE> <LINE> Finally, I find myself in a huge hall, where the remains of old equipment are located. But what grabs my attention is the big metal box in the middle of the room. I start to explore it and understand that this is not a box, but some kind of portal that can lead me to a completely different place. <LINE> <LINE> I begin to listen to the sounds around me and hear the faint hum of machines in the distance. Not knowing where I am, I start moving in that direction, making my way through dark streets and empty buildings. Soon I again reach the abandoned factory, which stands in front of me, rising menacingly in the darkness, from where the box - the portal - carried me. <LINE> <LINE> I approach a huge gate that suddenly opens before me, as if someone was waiting for my arrival. I go inside and realize that I am in a maze of rooms and corridors. <LINE> <LINE> As I move forward, each step reminds me of how little I know about this place. All around me I see broken wires, cracked walls and broken glass. It seems like no one has been here for decades. <LINE> <LINE> As I continue my journey through this maze of rooms and corridors, I again hear strange sounds coming from afar. I feel uneasy, but I can't stop and start moving towards the source of the noise. <LINE> <LINE> As I get closer, the sounds grow louder and indistinct until I reach a huge room containing an old conveyor belt. The conveyor belt is still running, even though the factory has been abandoned. <LINE> <LINE> And then, from under the conveyor belt comes an ominous whisper, calling me to him. I get closer and see a pair of eyes that glow in the dark. <LINE> <LINE> - Who are you? I ask, feeling fear grip me. <LINE> <LINE> - We're all alive here, -  the voice whispers. This factory has never been empty. We are all here, hidden in the dark. <LINE> <LINE> - Who are you? I ask, not understanding what is happening. <LINE> <LINE> - My name is Jack, -  the man replies. I worked here at this factory until it was closed. But what are you doing here? This is a dangerous place, you need to get out of here. <LINE> <LINE> I explain to Jack that I happened to be in this abandoned factory and try to find my way out. But the man speaks again. <LINE> <LINE> - You don't understand what's going on here. This factory is cursed and strange things are happening in it. <LINE> <LINE> I find this ridiculous and try to convince Jack that it's all just my nerves, that there are no ghosts here. But then I notice that the man is constantly looking around, as if he is afraid of something. <LINE> <LINE> - What happened? Do you know something? I ask. <LINE> <LINE> - This place holds a secret, -  Jack replies. - I can't tell you everything that happened here, but I'm sure you should get out of here before it's too late. <LINE> <LINE> Suddenly, we hear a sound from afar, as if someone is approaching us. I look around and see that the darkness is shrinking around us, as if we are surrounded by invisible shadows. <LINE> <LINE> - This can't be true,-  I whisper, trying to convince myself that this is just a dream. But when I turn to Jack, I notice that he has disappeared. <LINE> <LINE> I am left alone, inside an abandoned factory that seems to be getting darker and more sinister. I understand that I do not know how to get out of this nightmare, and that I have to go through many dangers and trials in order to survive.",
	1945359259::CN::IGUI_Dream144 = "废弃工厂探索时发现传送箱, 遇见自称 <LINE> Jack的工人警告此地被诅咒. 黑暗吞噬 <LINE> 一切时他消失无踪.",
	1945359259::EN::IGUI_Dream145 = "The lawn under bare feet is soft, but unexpectedly, I feel it turning into cold mud. Around me, it becomes dark as if an unknown force is absorbing the light. <LINE> <LINE> Ghostly shadows of ominous shapes appear before my eyes, bending in distorted forms. In the distance, whispers are heard, bringing a chill to the skin. Fear grips me, but I cannot move or make a sound. In the darkness, something approaches, stepping heavily as if a corpse has risen from its final rest. <LINE> <LINE> It feels like invisible hands are holding me in a gripping embrace, hindering even a sigh. Time seems to stand still, and I stand frozen in this eerie atmosphere. In the distance, a horrifying grinding sound is heard, as if someone is sharpening teeth on a skull. <LINE> <LINE> From the darkness emerges the figure of a shadowy being, whose eyes gleam with a crimson light. I understand that it is something not from this world, something that cannot be described with real words. It approaches, and I feel my essence slowly dissolving in this nightmare. <LINE> <LINE> The surroundings become more and more distorted, as if reality itself is breaking down under the influence of dark forces. I try to scream, but instead of a sound, only a silent cry of horror comes from my throat. <LINE> <LINE> The creature gets even closer, its dark hands reaching out to me, and I sink into the abyss of boundless nightmare. All senses and feelings merge into a single stream of horror, and I helplessly descend into this darkness, devoid of any understanding...",
	1945359259::CN::IGUI_Dream145 = "脚下草地突变成冰冷淤泥. 阴影中浮现猩红 <LINE> 双眼的实体, 它的触碰让我逐渐溶解在噩梦 <LINE> 里.",
	1945359259::EN::IGUI_Dream146 = "Darkness. Nothing is visible around. Rustles and whispers are heard, as if someone is creeping in the night. As the perception of the surrounding world becomes clearer, I notice strange figures lurking in the shadows. They move unnoticed, like ghosts in the darkness. <LINE> <LINE> The surrounding atmosphere seems frightening, but I decide to move forward. An unknown force leads me through dark alleys, as if in a labyrinth of nightmarish twists. Strange silhouettes flicker in the distance, and the atmosphere is saturated with tension. <LINE> <LINE> A vague desire to unravel the secrets of this place propels me forward. In an attempt to understand what is hidden in the darkness, I cautiously take each step. The tension grows, and a strange energy is felt in the air. Approaching one of the dark walls, a glowing door appears before me, as if gates to another world. <LINE> <LINE> Fearlessly, I open the door.",
	1945359259::CN::IGUI_Dream146 = "黑暗迷宫里的低语引导我找到发光门扉, 无 <LINE> 畏推开后...",
	1945359259::EN::IGUI_Dream147 = "Darkness tightly envelops me, as if an invisible shroud in an abandoned building. With each step, the floor beneath my feet creaks and crunches, filling the air with muted tension. Shadows play around, creating dark contours of the surrounding space. <LINE> <LINE> Whispers hang in the air, as if ghosts of the past strive to convey their mysterious messages to me. In this nightmare, reality distorts, as if it violates its own laws. My flesh fills with unease, as if darkness penetrates the very depths of my being. <LINE> <LINE> Suddenly, a figure emerges from the darkness, clad in black shadows. Its presence radiates threat, and a cold wind pierces my skin, a harbinger of imminent danger. Whispers intensify, transforming into distorted cries, echoes of lost souls, only amplifying my disquiet. <LINE> <LINE> In the corner of the room, darkness thickens, creating the illusion of a mysterious incident. I begin to run, but my legs feel heavy, immersed in thick resin. Everything around me slowly distorts, creating a sense of reality slipping out of control. Something ominous lurks in the shadows, watching my every move. <LINE> <LINE> Again, whispers fill the air, this time taking on the character of piercing noises. The figure in the shadows approaches, its contours becoming clearer. It utters words, unclear and distorted, but their meaning penetrates the very depths of my being, leaving me paralyzed with fear.",
	1945359259::CN::IGUI_Dream147 = "废弃建筑中阴影人形逼近, 扭曲的尖叫让我 <LINE> 全身瘫痪.",
	1945359259::EN::IGUI_Dream148 = "Darkness. No sound, no light. I am immersed in absolute emptiness. I don't feel my body, I don't see anything around. Endless velvet of black emptiness. In this timeless space, a metallic voice suddenly echoes through the silence. <LINE> <LINE> - Secret 245. Alpha. Tangent. 11. 35. Delta. <LINE> <LINE> The voice utters incomprehensible combinations of numbers and words, as if ciphers lost in the darkness. I try to understand their meaning, but each subsequent combination seems even more abstract and inaccessible. <LINE> <LINE> - Echo. 8. Zulu. 77. Lima. 92. <LINE> <LINE> The words of the voice carry a mystery, as if behind each digit and word lies the unfathomable. Anxiety and uncertainty accompany this metallic voice, which seems to have no beginning or end. <LINE> <LINE> Through the darkness, I try to discern something, but in vain. Echoes of number combinations flicker before my eyes like traces of light. <LINE> <LINE> - Foxtrot. 21. Sierra. 64. Kilo. 3. <LINE> <LINE> The succession of meaningless codes continues, and I become more immersed in this metallic labyrinth. A sense of loss, helplessness, the impossibility of deciphering the codes, something greater that could reveal the meaning of this emptiness. <LINE> <LINE> The words of the voice become more and more mechanical, devoid of a human touch. It speaks as if it does not realize its own words, merely repeating programmed commands. <LINE> <LINE> In the final combination, the voice becomes increasingly monotone and detached, as if its essence dissolves in cold machine processing. <LINE> <LINE> - Gamma. 47. November. 14. Omicron. 55.",
	1945359259::CN::IGUI_Dream148 = "虚空中的机械声念着加密数字: 「秘码245.  <LINE> 阿尔法. 切线. 11. 35. 德尔塔...」",
	1945359259::EN::IGUI_Dream149 = "I find myself in an abandoned factory that once served as the industrial center of the city. Roofs collapse, walls are covered with mold and moss, and windows are shattered and boarded up. The building is shrouded in a dark mist, creating a sense of invisible danger. <LINE> <LINE> Before me unfolds a hall that was once a massive workshop. The hall is empty, except for an old staircase leading to the second floor. My curiosity overcomes fear, and I begin to ascend the steps. <LINE> <LINE> On the second floor, I enter a vast warehouse where various goods were once stored. Dust, dirt, and cobwebs fill the space. I try not to make noise, afraid to attract the attention of something or someone. <LINE> <LINE> Continuing my exploration, I discover numerous rooms and corridors, each of which may hide new dangers. In one room, I find a dead mouse, in another, a burning torch that starts to burn me as I approach it. <LINE> <LINE> Nevertheless, I continue, feeling increasingly frightened, noticing strange sounds emanating from the depths of the factory. They could be footsteps, the scrape of metal, or the rustle of cloaks. I don't know what these sounds are, but they make my heart beat faster and faster. <LINE> <LINE> Finally, I enter a massive hall containing remnants of old machinery. However, what captures my attention is a large metal box in the center of the room. I begin to examine it and realize that it's not a box but some kind of portal that can transport me to an entirely different place. <LINE> <LINE> I start to listen to the sounds around me and hear a faint hum of machines in the distance. Not knowing where I am, I move in that direction, navigating through dark alleys and empty buildings. Soon, I reach the abandoned factory again, looming threateningly in the darkness, from where the portal transported me. <LINE> <LINE> Approaching the massive gates, they unexpectedly open before me, as if someone was waiting for my arrival. I enter and realize that I'm in a maze of rooms and corridors. <LINE> <LINE> Moving forward, each step reminds me of how little I know about this place. Everywhere around me, I see severed wires, cracked walls, and broken glass. It seems like no one has been here for decades. <LINE> <LINE> Continuing my path through this labyrinth of rooms and corridors, I hear strange sounds again, coming from a distance. I feel uneasy, but I can't stop, and I start moving towards the source of the noise. <LINE> <LINE> Approaching, the sounds become louder and more indistinct until I reach a massive room with an old conveyor belt. The conveyor belt is still running, though the factory has long been abandoned. <LINE> <LINE> And then, from under the conveyor belt, comes a sinister whisper, calling me towards it. I approach closer and see a pair of eyes glowing in the darkness. <LINE> <LINE> - Who are you? I ask, feeling fear enveloping me. <LINE> <LINE> - We're all alive here, the voice whispers. - This factory was never empty. We're all here, hidden in the darkness. <LINE> <LINE> - Who are you? I ask, not understanding what is happening. <LINE> <LINE> - My name is Jack, the man responds. I worked here at this factory until it was closed. But what are you doing here? This is a dangerous place; you need to leave. <LINE> <LINE> I explain to Jack that I accidentally ended up in this abandoned factory and am trying to find a way out. But the man speaks again. <LINE> <LINE> - You don't understand what's happening here. This factory is cursed, and strange things are occurring. <LINE> <LINE> I find it absurd and try to convince Jack that it's just my nerves, and there are no ghosts here. But then I notice that the man keeps looking around as if he's afraid of something. <LINE> <LINE> - What happened? Do you know something? I ask. <LINE> <LINE> - This place carries a secret, Jack replies. - I can't tell you everything that happened here, but I'm sure you must leave before it's too late. <LINE> <LINE> Suddenly, we hear a sound in the distance, as if someone is approaching. I look around and see that darkness is closing in around us, as if we are surrounded by invisible shadows. <LINE> <LINE> - This can't be true, I whisper, trying to convince myself that it's just a dream. But when I turn to Jack, I notice that he has disappeared. <LINE> <LINE> I remain alone inside the abandoned factory, which seems to become darker and more ominous.",
	1945359259::CN::IGUI_Dream149 = "重复探索同一座诅咒工厂, 传送箱带回原点.  <LINE> 工人Jack警告后消失, 黑暗吞噬一切.",
	1945359259::EN::IGUI_Dream15 = "There was an interesting liquid that evaporates any liquid upon contact. Access to it is free, everyone uses it. But then they put a restriction on it, the cost of using 8500.",
	1945359259::CN::IGUI_Dream15 = "曾经有种有趣的液体, 接触任何液体都会使 <LINE> 其蒸发.  <LINE> 可以自由获取, 人人都用.  <LINE> 但后来开始限制使用, 每次收费8500.",
	1945359259::EN::IGUI_Dream16 = " <RGB: 0,0.5,1> Helicopter <LINE> <RGB: 1,1,1> I’m traveling on a bus with the military, they will dedicate one of them and explain how this will happen. I do not like the way. We get off the bus, I jump, another one follows me, grabbing his neck and turning him over the fly, he falls on his neck and breaks it. I say that I did not want to do this, it is an accident, I need to put his neck back.",
	1945359259::CN::IGUI_Dream16 = " <RGB: 0,0.5,1> 直升机 <LINE> <RGB: 1,1,1> 我和军人们同 <LINE> 乘巴士, 他们要选拔新人并解释流程.  <LINE> 我不喜欢这种方式.  <LINE> 下车时我跳下来, 另一个人跟着我, 我抓住 <LINE> 他的脖子来个过肩摔, 他脖子着地摔断了.  <LINE> 我连说不是故意的, 是意外, 得帮他把脖子 <LINE> 接回去.",
	1945359259::EN::IGUI_Dream17 = "I am at a gas station, with my friends I light a fire near a gas station. Station workers come running to extinguish it, and I'm sitting next to a bonfire on the grass. They begin to ask me why there was a fire. I answer that no one set fire to it, it caught fire, the workers think that this is quite likely. The action goes inside the premises where employees work. One tells the other that he built a partition between them, because he is embarrassed to work when everyone is watching. On the monitor from the surveillance camera you can see someone moving off the roof of the gas station - the set descent flies a little and crashes into the asphalt. Joyful jumps out of the car, screaming what he did.",
	1945359259::CN::IGUI_Dream17 = "我在加油站, 和朋友在附近生火.  <LINE> 加油站员工跑来灭火, 而我坐在火堆旁的草 <LINE> 地上.  <LINE> 他们开始质问我起火原因.  <LINE> 我回答说没人放火, 是自燃的, 员工们居然 <LINE> 觉得合情合理.  <LINE> 场景转到室内工作区, 一个员工对另一个说 <LINE> 在工位间装了隔断, 因为被人盯着干活会尴 <LINE> 尬.  <LINE> 监控屏幕上看到有人从加油站屋顶移动—— <LINE> 那人跳下来稍微飞了一段就摔在沥青路面上.  <LINE> 他欢快地跳起来, 嚷嚷着自己做到了.",
	1945359259::EN::IGUI_Dream18 = "I light candles and put them near each window opening so that it is warm. Mother is lying on the couch and she's nonsense, says different nonsense. I suddenly understand that she will die soon, sit down and lay her head on her lap, my mother begins to tell me about her mistakes, about breakdowns, etc., confesses to me ...",
	1945359259::CN::IGUI_Dream18 = "我点燃蜡烛放在每个窗台取暖.  <LINE> 母亲躺在沙发上胡言乱语.  <LINE> 我突然意识到她快要死了, 坐下将她的头放 <LINE> 在我腿上, 母亲开始忏悔她的过错、崩溃和 <LINE> 种种经历...",
	1945359259::EN::IGUI_Dream18_Say = "Eh. Such a sad dream...",
	1945359259::CN::IGUI_Dream18_Say = "唉...真是个悲伤的梦...",
