ItemName_Base.TatteredPaper = "Tattered Paper",
UI_ImmersiveLore_Story_138_Content = "Yo Jared, I woulda called but the phones are still dead. Carl and Jessie swung by and asked me if I wanted to check out this place they been hangin at, so I said hell yeah. They said it was cool if I let you know about it too, figured you wouldnt want to just be sittin around my place all night milking your meat. It's outside of Ekron a few miles, bout halfway to that discount warehouse place. Road ins got fences so you gotta hop a few but they keep the other losers out, yknow? Jessie says it was a college or something, but Carls serious it was some sort of cult fortress with rituals and sh!t. But theres pool tables and a soccer field and other cool stuff to do. Figure it beats smokin in your basement, plus your mom cant smell it when were all the way out in the woods huh? Haha\nSee ya there!",
UI_ImmersiveLore_Story_138_Title = "Dope Hangout",
UI_ImmersiveLore_Story_139_Content = "... those who are experienced hikers will be familiar with them, an important convenience and maybe even lifesaving tool that many novice backpackers are unaware of is the wilderness hut.\n\nA wilderness hut is typically a one or two-room cabin stocked with simple survival tools and dry goods for the explorer in need, intended to be shared alike by all backpackers under an honor code. Take no more than you need, replace what you are able to, and always respect any others who you may need to share the shelter with. These simple cabins are built by park services and private owners alike expressly for the benefit and protection of hikers in remote or dangerous places all around the world, from the rural woodlands of Kentucky to the frigid crags of the Alps.\n\nIn the British Archipelago, a wilderness hut is often called a "bothy," while in continental Europe they might be called "bivou...",
UI_ImmersiveLore_Story_139_Title = "Torn page from a backpacking magazine",
UI_ImmersiveLore_Story_13_Content = "Hey Ethan,\n\nI hope this note finds you safe and sound. I've gone out on a daring expedition to scavenge for supplies. I know it's risky, but we're running low on essentials, and someone's got to do it, right? Don't worry, I've taken every precaution. I've got my trusty baseball bat, a backpack full of snacks, and my lucky socks (yes, the ones with the polka dots). I've left a trail of breadcrumbs to let you know my route, just in case. Okay, maybe not actual breadcrumbs because, let's face it, that would just attract zombies. But I've marked the path with random objects like rubber ducks and colorful ribbons. You can't miss them!\n\nWhile I'm out there, I promise to keep an eye out for that rare item you've been searching for. Who knows, maybe I'll stumble upon a treasure trove of canned goods or a hidden stash of chocolate. I'll do my best to make it back with something special to lift our spirits.\n\nRemember, patience is key. If you don't hear from me right away, don't worry. It's probably just me tripping over my own feet or getting distracted by a squirrel.\n\nStay strong, my friend. I'll be back before you know it, armed with supplies and ridiculous stories to share. Until then, keep that positive attitude and keep those zombie-free dance moves going.\n\nYours in fearless scavenging,\n\nDavid",
UI_ImmersiveLore_Story_13_Title = "Adventure Awaits",
UI_ImmersiveLore_Story_140_Content = "502 - ident\nTHIS IS THE AUTOMATED EMERGENCY BROADCAST SYSTEM. - more succinct?\nTHIS SIGNAL ORIGINATES FROM STATION ROSE-099 IN MEADE COUNTY, KENTUCKY - superfluous beyond diags\nAND APPLIES TO THE GREATER KNOX COUNTRY REGION.\nTODAY, AVERAGE TEMPERATURE 92.4 DEGREES FAHRENHEIT. MINIMUM, 88.6 DEGREES FAHRENHEIT. MAXIMUM, 96.3 DEGREES FAHRENHEIT. HUMIDITY, 87%.\nCALM WIND FROM THE WEST. MAXIMUM OF 3 MPH EXPECTED. NO CLOUDS. - all looks good\nTOMORROW, AVERAGE TEMPERATURE 94.6 DEGREES FAHRENHEIT. MINIMUM, 90.2 DEGREES FAHRENHEIT. MAXIMUM, 96.4 DEGREES FAHRENHEIT. HUMIDITY, 92%.\nKNOX POWER GRID: STABLE.\nAIR ACTIVITY DETECTED. - reqd by camo guys, not sure what for\nBROADCAST SYSTEM INTEGRITY: SYSTEMS NOMINAL. - just for diags\n- might hook in water dept? flood & fire warnings? gotta make some calls",
UI_ImmersiveLore_Story_140_Title = "Old AEBS Printout with Handwritten Notes",
UI_ImmersiveLore_Story_141_Content = "There hasn't been a barge on the river in days. Some of the sick people are out in the street so I haven't been able to go down to the park to watch for boats, but I could always see the towboat pilothouses from my window. Usually so many in one day you'd have a hard time counting. But none today, yesterday, or the day before that. Have they closed McAlpine? Markland? Meldahl? Greenup? Even higher? Delilah's been moored over a week. Even if they've got us locked up at home, folks elsewhere need their coal and lime.\n\nI'm thinking I'll make for the Browns' boat and go down to the launch. Even without gas I ought to be able to guide her downriver atleast to Alton. Worst case they got to fish me out at Cannelton. I just need to get somewhere with folks who know what's going on, because this ain't right.",
UI_ImmersiveLore_Story_141_Title = "Going Downriver",
UI_ImmersiveLore_Story_142_Content = "This article has been prepared by the Office of Civil Defense at the behest of the United States Army. It is intended for personnel and their families retained at the Fort Knox Emergency Shelter, March Ridge, to educate and prepare them for returning to the surface following an extended period of habitation in the Fort Knox Emergency Shelter, March Ridge. Content follows.\n\nLEAVING THE SHELTER\n\nRemember to follow these BASIC RULES:\n\nRule #1 - LINE UP IN AN ORDERLY FASHION\nWhile excitement to leave the shelter may be high, disorder and delay can endanger the lives of you and others.\n\nRule #2 - USE PROTECTIVE EYE WEAR\nYears of living in the shelter can make the eyes sensitive to natural sunlight. Without protective eye wear, extreme eye damage could result.\n\nRule #3 - BE PREPARED\nWith supplies stockpiled in the shelter, prepare yourself to live life anew on the surface. Reclaiming and rebuilding the America of your dreams begins with you.\n\nProp. US Gov't. Article no. 10101997 [67-5]",
UI_ImmersiveLore_Story_142_Title = "A Plan to Build a Dream On",
UI_ImmersiveLore_Story_143_Content = "bulls cleared out 2 days ago\nyard been still since\nthey leavin us here?\nmostly drank all I got\nthot Id be at queensgate by now\ngotta walk else Ill be a raisin soon",
UI_ImmersiveLore_Story_143_Title = "Hobo's Note",
UI_ImmersiveLore_Story_144_Content = "Where do all the roads go? They all go somewhere. But there are so many roads. They can't all go everywhere. There are so many roads. Where do all the roads go? They can't all go somewhere. They all go everywhere. Where do all the roads go? There are so many roads. They can't all go everywhere. But they can't all go somewhere. Where do all the roads go? They all go somewhere. But there are so many roads. They can't all go everywhere. There are so many roads. Where do all the roads go? They can't all go somewhere. They all go everywhere. Where do all the roads go? There are so many roads. They can't all go everywhere. But they can't all go somewhere. Where do all the roads go? They all go somewhere. But there are so many roads. They can't all go everywhere. There are so many roads. Where do all the roads go? They can't all go somewhere. They all go everywhere. Where do all the roads go? There are so many roads. They can't all go everywhere. But they can't all go somewhere.",
UI_ImmersiveLore_Story_144_Title = "Roads to Nowhere",
UI_ImmersiveLore_Story_145_Content = "I can't get the fire started. It's too wet or I can't work it fast enough or something. There's snow already starting. I thought the walls would be thick enough but there's a hole somewhere or I was just wrong. It's so cold. I'm so cold. I still have the bars and the 2 liters but it's so cold I can't stand putting anything in me. I couldn't have made it to Bowling Green. I should've turned back when it hit 60. I should've stayed in Saint Meinrad. I couldn't have. I'm so cold. I just want to wake up. But it's so cold.",
UI_ImmersiveLore_Story_145_Title = "Faded, ruined scrap of paper",
UI_ImmersiveLore_Story_146_Content = "thats the reason im gonna kill everyone\ncause there a buncha dirty pigs\nwhere am i\ni love sneakin up on people an bashin there heads in\nYOU FOOLS\nno one ever sees THE BREECH\nthis is my code\nthe thing happened\nnow no man woman child can survive\nEVERYONE MUST DIE\nthis is my code\nTHE BREECH WILL COME FOR YOU\nyou cannot defeat THE BREECH\nIM COMING\nTHE BREECH IS COMING\nno ones safe at all\nTHIS IS THE BREECH DOCTRINE\ndoodleydoodledeedoo",
UI_ImmersiveLore_Story_146_Title = "The Breech Doctrine",
UI_ImmersiveLore_Story_147_Content = "Lots of traffic as of late. Army open & scrambled. They don't know much about the zone either. Was fishing around and got from KP0TIS that nobody outside KY has any idea and the gov is shut up. When politicals cork it you know SHTF. Might be time to go natural. Hate to leave the rig though. Could sell modem on way out. Figure details later.",
UI_ImmersiveLore_Story_147_Title = "A memo scribbled by WZ4XUI",
UI_ImmersiveLore_Story_148_Content = "To anybody coming in to check their mail or dial into your favorite BBS, we're sorry but the phone outage means we can't call out of the local net. Sorry if you drove all the way here but we're just as up the creek as you are.\n\nWe're still open for print jobs and, of course, LAN parties. F-16 V3 and our local door games are available as usual. Please use the hand sanitizer beside your keyboard before and after your time slot!\n\nThanks,\nYour sysop",
UI_ImmersiveLore_Story_148_Title = "Printed Notice to Customers",
UI_ImmersiveLore_Story_149_Content = "Louisville\nTO SDF\nAL659 11JUL\nVIA CVG\nAL782 11JUL\nVIA ATL\nAL541 11JUL\nVIA BOS\nAL937 10JUL\nVIA LGW\nAL241 09JUL",
UI_ImmersiveLore_Story_149_Title = "Orphaned Luggage Tag",
UI_ImmersiveLore_Story_14_Content = "My Dearest David\n\nIt has been weeks since you embarked on your journey for supplies, and still, there is no sign of your return. Each passing day fills my heart with worry and a growing sense of despair. I've searched tirelessly, hoping to find a clue or a trace of your presence, but the world remains silent, unwilling to reveal your fate.\n\nThe days blend together in a bleak haze of loneliness and unanswered questions. The once vibrant colors of our memories have faded, overshadowed by the weight of uncertainty. I find myself replaying our last moments together, wondering if there was something more I could have done or said to keep you by my side.\n\nIn the darkest corners of my mind, I entertain thoughts of the worst possible outcomes. Did you encounter a horde too large to overcome? Were you ambushed by desperate survivors, consumed by their own desperation? Or did the unrelenting nature of this forsaken world simply claim you as another casualty?\n\nThe pain of your absence is a constant companion, an ache that gnaws at my soul. The remnants of hope that once flickered dimly within me now struggle to survive. I am left with the bitter taste of regret, wishing I had been able to say a proper goodbye, to express the depth of our friendship and the gratitude I hold for the times we shared.\n\nI will continue to remember you, not as a lost soul, but as a beacon of courage and resilience. Your memory will be my guiding light through the encroaching darkness, reminding me of the strength we once possessed as a united front.\n\nThough you may never read these words, I pen them with a heavy heart, hoping that in some cosmic twist of fate, they find their way to you. If you are out there, my friend, know that you are sorely missed and that your absence has left an indelible void in my life.\n\nWith love and sorrow,\n\nEthan",
UI_ImmersiveLore_Story_14_Title = "Lost in Shadows",
UI_ImmersiveLore_Story_150_Content = "Boys, that fuel spill on the south end of taxiway A didn't amazingly clean itself up yesterday and unless one of you is a magic princess in disguise I don't believe it will today. The bagboys are all complaining about headaches now and unless you wanna join them in huffing airgas you better stop trying to climb up hostess skirts and grab your damn mops.\n\nIf A isn't clear by lunch you all will have much worse to worry about than lung cancer.\nWilson",
UI_ImmersiveLore_Story_150_Title = "Get Your Mops",
UI_ImmersiveLore_Story_151_Content = "Adam's Ribs\n"World-famed from Joliet to Korea"\n10 W Polk St, Chicago, Ill.\nDEarborn 5-2750\n\n40lbs PORK SPARERIBS\n1gal BARBECUE SAUCE\n\nPHONE ORDER\nFOR Cranston Lamont\n$74.19",
UI_ImmersiveLore_Story_151_Title = "Weathered Receipt from a Barbecue Restaurant",
UI_ImmersiveLore_Story_152_Content = "TACOS\nServed with rice and refried beans\nPachuca Street-Style $3\n+Carne add $1\nGuadalajara Resort Special $5\n+Carne add $1\nTexas Market-Style $2\n+Carne add $1\n\nBURRITOS\nServed with refried beans\nBurrito Mexicano $5\n+Carnitas add $2\nBurrito California $6\n+Pollo add $1\nBurrito Hawaiian\n+SHAM add $2\n\nAMERICAN\nChicken Strips $4\nFried Chicken Breast Strips with French Fries\nCheezburger $4\nHamburger Patty with Cheese and French Fries\nSalisbury Steak $4\nMeatloaf with Brown Sauce and Mash Potatoes\nKentucky Steak $5\nBreaded & Fried Chopsteak with Mash Potatoes",
UI_ImmersiveLore_Story_152_Title = "Dia de los Tacos Menu",
UI_ImmersiveLore_Story_153_Content = "Noam from Nome knows Gnomes and Gnomes from Nome know Noam. Nome Noam and Gnome Noam and Nome Gnomes otherwise know Nome like no Gnome known. Nome Noam's Gnomes from Nome know Noam from Nome knows Gnome Noam and Nome's Gnomes. No Gnomes from Nome know Gnomes but Gnome Noam and Nome Noam's Gnomes. Nome Noam and Gnome Noam and Nome Gnomes know Gnomes like Nome. Nome likes Noam from Nome and Gnome Noam and Gnomes from Nome like Gnomes like Nome.",
UI_ImmersiveLore_Story_153_Title = "Noam's Gnomes",
UI_ImmersiveLore_Story_154_Content = "Chris and I stayed nearly 2 hours here waiting for you guys! You may have been busy getting supplies further intown but please come back as soon as you find this note. We left a car for you, just please come back to our place.\nxoxo, C & T",
UI_ImmersiveLore_Story_154_Title = "Dirty letter",
UI_ImmersiveLore_Story_155_Content = "My biscottino, I don't know what happened or why you left home but please stay here if you found this letter and we will come back tomorrow.\nMum is worried about you and Grandma has gotten sick, we left some water and food for you here. Spots is also eager to see you and play catch with you once you get back. Love, dad",
UI_ImmersiveLore_Story_155_Title = "Mossy note",
UI_ImmersiveLore_Story_156_Content = "...and mom said i cant bring too much stuff, only essentials which totally sucks cause i wont be able to listen to music on our way out. she wont say to me whats going on and dad is dead silent, like he always does when hes stressed out or thinking what to do. im kinda scared but i know uncle fred's house is kin...",
UI_ImmersiveLore_Story_156_Title = "Torn paper",
UI_ImmersiveLore_Story_157_Content = "…we thought the quarantine zone would save us, but it's chaos here too. We heard about a safe haven near Fallas Lake, though it could just be a rumor. Pack light, move fast. If I don't make it, I hope someone else finds peace.",
UI_ImmersiveLore_Story_157_Title = "Forgotten journal page",
UI_ImmersiveLore_Story_158_Content = "A crumpled piece of paper shows a hastily drawn house, stick figures of people holding hands, and a cat labeled “Mikey.” The back reads: “we are hideing in the basement please dont let the monsters gets us. Mommy says you will come”",
UI_ImmersiveLore_Story_158_Title = "Child's drawing",
UI_ImmersiveLore_Story_159_Content = "Day 42. Supplies running low. Biters outside have tripled. Saw one of them trying to break the fence today—didn't know they could do that. Keeping the generator running for as long as I can. Whoever finds this, use the tools in the garage and hope they're still of use, and if you see Darlene, please put her to rest. I couldn't.",
UI_ImmersiveLore_Story_159_Title = "Old Man's Notes",
UI_ImmersiveLore_Story_15_Content = "*A scribbled note, barely legible*\n\nIn the depths of this forsaken world, I am but a broken soul. I have lost all I held dear, consumed by the relentless void of grief. Hope has abandoned me, leaving only darkness in its wake. The echoes of their laughter haunt my every waking moment. I am adrift, a shattered vessel in an empty sea. There is no solace, no salvation. Only the fragments of a broken spirit remain.",
UI_ImmersiveLore_Story_15_Title = "A Shattered Existence",
UI_ImmersiveLore_Story_160_Content = "The static on the radio is unbearable, but through the noise, I caught a message: “Head north… safety… river.” I don't know if it's real or some cruel prank, but it's my only lead. If you find this note, take the walkie-talkie and keep listening. Maybe you'll hear more.",
UI_ImmersiveLore_Story_160_Title = "Heading north",
UI_ImmersiveLore_Story_161_Content = "It's been three weeks since I heard another voice. I thought loneliness was supposed to be peaceful, but the silence presses on me like a weight. I left a thermos of coffee by the campfire. If you find this, please… take a sip for me.",
UI_ImmersiveLore_Story_161_Title = "Alone",
UI_ImmersiveLore_Story_162_Content = "Dear Bea and Frank, I left some jars of preserves in the basement—canned peaches, tomatoes, and even strawberry jam. If you find this, take whatever you need. If we've made it to the farm outside of town, you're welcome there too. All the best, Elsa",
UI_ImmersiveLore_Story_162_Title = "Laussen Family",
UI_ImmersiveLore_Story_163_Content = "The terminal was packed. People shouting, crying, shoving their way through the crowds. The military tried to keep order but it was hopeless. Then someone screamed and I knew it was time to just go. Everything collapsed in minutes.\nI saw soldiers retreating down the runway, but I don't think they'll make it. How can a sick person do this? Are they even people anymore? I don't even know why I'm writing this. I miss you mom.",
UI_ImmersiveLore_Story_163_Title = "Rugged paper",
UI_ImmersiveLore_Story_164_Content = "The suburb was quiet at first. Almost peaceful. But then the noise from the city spread: sirens, gunshots, explosions. People started locking their doors, boarding their windows. A few tried to head for Louisville, but none of them came back.\n\nI stayed.\n\nI don't know if that was the right choice.",
UI_ImmersiveLore_Story_164_Title = "Valley station in turmoil",
UI_ImmersiveLore_Story_165_Content = "I forced myself back into Louisville today. Didn't think I could do it, but I had to try. The city… it's not a city anymore. It's fire and smoke and rot. Streets choked with wreckage, bodies—so many bodies. I screamed her name until my throat felt raw, but the only response was the groans of the infected. I don't know how much longer I can keep this up. I want to believe she's still out there, but hope feels heavier every day.",
UI_ImmersiveLore_Story_165_Title = "Still looking for you",
UI_ImmersiveLore_Story_166_Content = "Tried to get across the river today but the military has the bridge blocked off and a freaking tank parked right in the middle. They wouldn't let anyone through, not even families with kids, this is INSANE!\nThe line of cars stretches for miles, and people are starting to abandon them... The waiting is bad, but knowing there's no escape is worse",
UI_ImmersiveLore_Story_166_Title = "Do not cross the bridge",
UI_ImmersiveLore_Story_167_Content = "Alex, we couldn't stay, it's too dangerous. The city's getting worse by the hour, and those things… they're everywhere now. We've gone to our farm near Brandenburg with the Henderson's kids. Grandpa keeps calling your name. He's terrified, and honestly, so am I. Please, if you find this, come find us. We need you.",
UI_ImmersiveLore_Story_167_Title = "We had to go",
UI_ImmersiveLore_Story_168_Content = "They promised us safety—a load of crap, that was. The soldiers with their shiny guns, the fences taller than trees. What good did it do when the gates got torn apart? People were scrambling over each other, screaming louder than the infected.\n\nI should've been one of them, crushed in the chaos, but somehow I wasn't. Guess fate decided to keep me around, though I don't know why. This city's just another deathtrap now.",
UI_ImmersiveLore_Story_168_Title = "Bullsh!t",
UI_ImmersiveLore_Story_169_Content = "The group is splitting up tomorrow. Tensions are high, and everyone's looking for someone to blame. I tried to convince them to stay together, but no one's listening anymore. We lost Jacob yesterday, and I don't think anyone wants to talk about it. We're barely holding on.",
UI_ImmersiveLore_Story_169_Title = "Note with blurry ink",
UI_ImmersiveLore_Story_16_Content = "I'm all alone now. I don't know where everyone went. The streets are empty, and the silence is so loud. I miss my mommy's warm hugs and daddy's silly jokes. I used to have a teddy bear to keep me safe, but I lost it somewhere. I'm scared and tired. I wish someone would find me and take me home. I want to feel safe again.",
UI_ImmersiveLore_Story_16_Title = "Lost in the Silence",
UI_ImmersiveLore_Story_170_Content = "Don't, just don't go to the airport\nIt's done for. The military's gone, left days ago. Planes are still there, but so are the sick. Swarming everywhere.\n\nIf you're heading to the city, turn around. It's all gone.",
UI_ImmersiveLore_Story_170_Title = "Airport's Gone",
UI_ImmersiveLore_Story_171_Content = "Whole town's gone, just… empty. Last family I saw packed up and left yesterday, but not before the dad had to put down his own son. I tried not to watch, but the sound… it'll stick with me. I'm not stayin' here long. Gotta keep movin'.",
UI_ImmersiveLore_Story_171_Title = "Leaving",
UI_ImmersiveLore_Story_172_Content = "They told us to stay calm, but nobody knows what's going on. The soldiers just stand there, barely speaking. I asked one of them what's happening in Louisville and he just stared at me and said, “Move along.”\nThe checkpoints aren't for keeping people out; they're for keeping us in.",
UI_ImmersiveLore_Story_172_Title = "Are we safe?",
UI_ImmersiveLore_Story_173_Content = "Tried calling my brother yesterday—no signal. Tried the neighbors, too, but their phones were dead. I saw a convoy pass by on the highway, but they didn't stop or say anything. What's happening out there? Why won't anyone tell us?",
UI_ImmersiveLore_Story_173_Title = "Weird stuff's happening, Claire",
UI_ImmersiveLore_Story_174_Content = "Why's it so quiet now? Just a week ago, this place was full of life. Kids playing in the yards, dogs barking, Mr. Wilkins yelling about his damn mailbox. Now… nothing.\n\nI don't think I've seen another living person in days. Feels like the world forgot about us.",
UI_ImmersiveLore_Story_174_Title = "I'm uneasy",
UI_ImmersiveLore_Story_175_Content = "We gave everything we had—supplies, time, hope. The shelter's full of coughing, crying, and whispers about what's happening outside.\n\nNo one's answering the phones anymore. I saw some of the kids run and I don't even know where they went.\n\nGod, I hope they're safe.\nPlease let them be safe.",
UI_ImmersiveLore_Story_175_Title = "Volunteer's last entry",
UI_ImmersiveLore_Story_176_Content = "I'm coughing again, worse than yesterday. Grandma's pills are the only thing keeping me upright, but we're running low. If I pass out again, she said she'll find help somehow.\nHow? There's no help left, not here.",
UI_ImmersiveLore_Story_176_Title = "Note with blood stain",
UI_ImmersiveLore_Story_177_Content = "Steve, the baby's coming. I need you home. Please don't make me go through this alone.\nMom's making soup again, like that'll fix everything, but even she's falling apart. I'm scared... I don't think I've ever been this scared.\n\nI keep thinking maybe you got stuck somewhere, or worse… Please come back.",
UI_ImmersiveLore_Story_177_Title = "Diary page",
UI_ImmersiveLore_Story_178_Content = "It was the cop from downtown... Officer Warren, I think? I saw him a month back, stopping a fight at the diner. He always had that air of control, you know? But there he was, shambling down the street like the rest of them. He was still in his uniform. Same badge, same face.\nPeople around me started crying. That was the moment we realized the uniforms weren't coming to save us.",
UI_ImmersiveLore_Story_178_Title = "Seeing the uniforms fall",
UI_ImmersiveLore_Story_179_Content = "The pastor's voice was calm, steady, like he wasn't surrounded by chaos. He said we're being punished, and that only the faithful will find salvation. I want to believe him, but the others… they're following him without question. I see it in their eyes—that kind of blind devotion that leads nowhere good.",
UI_ImmersiveLore_Story_179_Title = "Have faith",
UI_ImmersiveLore_Story_17_Content = "Are you tired of facing the undead hordes alone? Do you long for someone to share the thrill of survival in this post-apocalyptic world? Look no further! I am seeking a fellow survivor to join forces and conquer the zombie apocalypse together.\n\nQualifications:\n\nProficient in zombie impersonations (bonus points for creepy moans and shuffling walk)\nExpert in board games (we need entertainment during those long nights of barricading)\nStrong stomach (zombie guts and canned food aren't always a pleasant combination)\nQuick reflexes and sharp aim (let's show those zombies who's boss!)\nAppreciation for terrible zombie-related puns (we'll need to keep our sense of humor intact)\n\nPerks of being my Zombie Apocalypse Buddy:\n\nNon-stop adventure and adrenaline rushes\nEndless conversations about our favorite zombie movies and TV shows\nSharing survival tips and strategies (like using canned beans as impromptu weapons)\nBackup during zombie encounters and an extra pair of eyes to watch your back\nUnwavering support and friendship in the face of the undead menace\n\nIf you think you have what it takes to be my trusty companion in this chaotic world, meet me at the gas station on your way to Louisville from Westpoint, just after the mall. Look for the person with a nerdy t-shirt and a determined glint in their eye. Let's team up, survive, and make unforgettable memories amidst the zombie apocalypse!\n\nTogether we'll face the undead with courage and a whole lot of fun!\n\nSincerly,\n\nYour Future Zombie Apocalypse Buddy",
UI_ImmersiveLore_Story_17_Title = "Wanted: Zombie Apocalypse Buddy",
UI_ImmersiveLore_Story_180_Content = "The dress shop is eerily quiet now. Rows of white gowns, waiting for weddings that will never happen. I used to dream of my own day—the flowers, the music, the promise of forever. Now forever feels meaningless. I guess I'll grab the sturdy heels from the back room. If I'm going to keep running, I might as well look good doing it.",
UI_ImmersiveLore_Story_180_Title = "Paper",
UI_ImmersiveLore_Story_181_Content = "Everyone's talking about the bunker near Doe Valley. They say it's stocked with food, water, everything we need. But nobody knows for sure. I saw a family leave this morning, their car packed to the brim. I wanted to follow them, but what if it's just another lie?",
UI_ImmersiveLore_Story_181_Title = "Bunker?",
UI_ImmersiveLore_Story_182_Content = "I met a girl today near Fallas. Her name was Alice. She handed me a can of beans and smiled, like it was the most natural thing in the world. She said something about heading north, looking for safety. I hope she finds it.\nPeople like her deserve better than this.",
UI_ImmersiveLore_Story_182_Title = "A whisper of kindness",
UI_ImmersiveLore_Story_183_Content = "Somehow, people are still holding on. A man shared the last of his bread with a stranger today, and an older woman taught the kids how to sew patches onto their clothes. It's little things like this that remind me: humanity isn't gone yet. We're still here.",
UI_ImmersiveLore_Story_183_Title = "Folded note of a volunteer",
UI_ImmersiveLore_Story_184_Content = "We had to turn people away today. It's the first time we've ever done it, but there's no room left, no food, no warmth to offer. I can't get their faces out of my head—the mother with the baby, the guy limping with a makeshift crutch. What happens to them now?",
UI_ImmersiveLore_Story_184_Title = "A volunteer's diary page",
UI_ImmersiveLore_Story_185_Content = "We turned the school gym into a clinic, but it's not enough. People keep pouring in with scratches, fevers, bites. We're out of antibiotics, and the nurse hasn't slept in three days. Sometimes, I think she's worse off than the patients.",
UI_ImmersiveLore_Story_185_Title = "We need help",
UI_ImmersiveLore_Story_186_Content = "Checkup list:\n\nMrs. Avery: fever hasn't gone down, gave her last dose of Tylenol.\n\nMr. Greene: still not eating, says he wants to save food for the kids.\n\nCarson family: baby's got a rash, suggested boiled water for bathing.\n\nSam, age 11: still shaken about what happened, gave him a stuffed rabbit.\n\nMrs. Linares: fever stable, no medication needed for now.\n\nMr. Alvarez: fainted this morning from exhaustion. Revived with cold water and a few crackers.\n\nJackson family: still looking for relatives, no news yet.\n\nNew arrivals: 16 people from the outskirts of Brandenburg, tired but thankful. A young man brought in gauze and alcohol wipes, said his mom was a nurse.\n\nSupplies: Just enough for everyone to have two small meals a day. Volunteers are turning scavenged veggies and rice into gold.\n\nEvery name feels like a weight in my chest. I don't know how much longer I can keep this list.",
UI_ImmersiveLore_Story_186_Title = "Volunteer's notebook",
UI_ImmersiveLore_Story_187_Content = " [9-4-1993] It's Evan again... Don't know why or who i'm writing to, suppose it helps me forget 'bout Eli... Found Johnny, at least, I think that was his name? Whatever it was, don't suppose it matters now, not unless somebody's ID'ing dead bodies. I improved my writing skill's a bit, now whoever finds these notes won't have to look at my crappy handwriting no longer. Found a family portrait while looting a nearby house. Poor bastards...\n\n[9-12-1993] Shit... Holy. Ever-Loving. Shit.\nI don't know what happened... I heard the door get broke down and I freaked... I was in... God, I think one of those mart's? I can never remember the name... I was in a back room, I had my back turned to the door, then I heard it get bust down... I didn't think, I grabbed my shotgun so fast and shot... I didn't even check who it was... Ended up shooting a... a Person... Not one of those things.. An actual person... She looked only like 17? 19 maybe?! It was hard to tell when there was no face to look at... There was brains.. everywhere... I already know I was unholy for taking Johnny and his wife out, but this... THIS?!\nI'm so going to hell...\n\n[9-15-1993] I keep having flashbacks and nightmares, about the girl, about Eli... I almost screamed and attracted a horde... Doesn't help that I'm sleeping hungry..\n\n[9-25-1993] I found a barricaded house, I broke in and found another person, A real Person. His name is James, We had each other at gun-point for a few seconds but we started to talk and... It doesn't matter, It's been so long since I've spoken to someone else... I need this, I can't let another person die... Plus it'd be nice to have a friend again, ever since Eli died, I just... Well, I just need another person to tell jokes to, to laugh with, I guess.\n\n[10-4-1993] Me and James have gotten along pretty well! I finally feel happy again! I can't remember the last anti-depressant I took! I might be able to forget this stupid journalism thing as the stupid coping mechanism it is! I felt motivated today and decided to start drawing again!\n\n*On the page resided a bit above average drawing of a fluffy cat with the title "Black-Berry"*\n\n[10-23-93] Well, Me and James finally moved to that farmhouse... It's quiet, really quiet. The farm that was left in the back is trampled but still fertile, we might be okay after all... If we can stay here, barricade like a mother-Effer, and get some crops a-growing, We'll be able to wait this apocalypse out...",
UI_ImmersiveLore_Story_187_Title = "One hell of a burden",
UI_ImmersiveLore_Story_18_Content = "In the midst of this bleak and decaying world, we could all use a good laugh, even if it's at the expense of the undead. Here's a collection of zombie-themed jokes and one-liners to lighten the mood and tickle your funny bone:\n\n1- Why don't zombies eat clowns? Because they taste funny!\n2- What do you call a zombie with a great sense of humor? A comic rot!\n3- Why did the zombie go to the dentist? To improve his *graveyard* smile!\n4- What's a zombie's favorite exercise? The dead-lift!\n5- Did you hear about the zombie marathon? People were dying to get in!\n6- What's a zombie's favorite kind of music? Decomposing!\n7- Why did the zombie go to the party alone? Because he had no body to go with him!\n\nRemember, these jokes may not be as lively as they once were, but they still pack a punch. So, share them with your fellow survivors, and let laughter be the soundtrack that drowns out the moans of the undead. After all, a good sense of humor can be the best weapon in our survival arsenal.\n\nStay alive and keep the laughs coming!\n\nYours Sincerly,\n\nJack",
UI_ImmersiveLore_Story_18_Title = "Laughs in the Apocalypse",
